productTitle,productPrice,productImageSrc,productLink
Apple iPhone 14 Plus (128 GB) – Estelar,"7.589,",https://m.media-amazon.com/images/I/61b7Ew7kjYL._AC_UL320_.jpg,https://amazon.com.br/Apple-iPhone-14-Plus-128/dp/B00CLP1QT6/ref=ice_ac_b_dpb?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=32MH80IEMIXE8&keywords=iphone+14+plus&qid=1670102555&sprefix=iphone+14+plu%2Caps%2C174&sr=8-1&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Apple iPhone 13 (256 GB) - Meia-noite,"5.858,",https://m.media-amazon.com/images/I/41rfDU6FGqL._AC_UL320_.jpg,https://amazon.com.br/Apple-iPhone-13-256-GB-Meia-noite/dp/B09T57QT9Y/ref=sr_1_2?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=32MH80IEMIXE8&keywords=iphone+14+plus&qid=1670102555&sprefix=iphone+14+plu%2Caps%2C174&sr=8-2&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Apple iPhone 14 (128 GB) – Estelar,"6.989,",https://m.media-amazon.com/images/I/618Bb+QzCmL._AC_UL320_.jpg,https://amazon.com.br/Apple-iPhone-14-128-GB/dp/B0BDJBCZHV/ref=sr_1_3?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=32MH80IEMIXE8&keywords=iphone+14+plus&qid=1670102555&sprefix=iphone+14+plu%2Caps%2C174&sr=8-3&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Apple iPhone 13 Pro (128 GB) - Azul Sierra,"7.499,",https://m.media-amazon.com/images/I/41K0G9FgD4L._AC_UL320_.jpg,https://amazon.com.br/Apple-iPhone-Pro-128-GB-Azul-Sierra/dp/B09L1N8J2H/ref=sr_1_4?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=32MH80IEMIXE8&keywords=iphone+14+plus&qid=1670102555&sprefix=iphone+14+plu%2Caps%2C174&sr=8-4&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Apple iPhone 14 Pro (128 GB) – Dourado,"9.499,",https://m.media-amazon.com/images/I/51PNqMth7kL._AC_UL320_.jpg,https://amazon.com.br/Apple-iPhone-14-Pro-128/dp/B0BDTQVWVT/ref=sr_1_5?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=32MH80IEMIXE8&keywords=iphone+14+plus&qid=1670102555&sprefix=iphone+14+plu%2Caps%2C174&sr=8-5&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Apple iPhone 14 Pro Max (256 GB) – Roxo-profundo,"11.499,",https://m.media-amazon.com/images/I/51iJx7YWDOL._AC_UL320_.jpg,https://amazon.com.br/Apple-iPhone-Pro-Max-Roxo-profundo/dp/B0BDJ3GGXF/ref=sr_1_6?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=32MH80IEMIXE8&keywords=iphone+14+plus&qid=1670102555&sprefix=iphone+14+plu%2Caps%2C174&sr=8-6&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Apple iPhone 13 Pro Max (128 GB) - Grafite,"8.499,",https://m.media-amazon.com/images/I/41vm9e97XZL._AC_UL320_.jpg,https://amazon.com.br/Apple-iPhone-Pro-Max-128-GB/dp/B09L1QXB9R/ref=sr_1_7?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=32MH80IEMIXE8&keywords=iphone+14+plus&qid=1670102555&sprefix=iphone+14+plu%2Caps%2C174&sr=8-7&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Apple iPhone 11 (128 GB) Branco,"3.799,",https://m.media-amazon.com/images/I/71kZfQA-Y7L._AC_UL320_.jpg,https://amazon.com.br/iPhone-Branco-com-Tela-C%C3%83%C2%A2mera/dp/B08NXK32ZX/ref=sr_1_8?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=32MH80IEMIXE8&keywords=iphone+14+plus&qid=1670102555&sprefix=iphone+14+plu%2Caps%2C174&sr=8-8&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Google Celular Android Pixel 7-5G – Smartphone desbloqueado com lente grande angular e bateria de 24 horas – 128 GB – Neve,"5.718,",https://m.media-amazon.com/images/I/7173p0j-mbL._AC_UL320_.jpg,https://amazon.com.br/Google-Celular-Android-Pixel-7-5G/dp/B0BCQVRH38/ref=sr_1_9?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=32MH80IEMIXE8&keywords=iphone+14+plus&qid=1670102555&sprefix=iphone+14+plu%2Caps%2C174&sr=8-9&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"Capa Capinha Transparente Anti Impacto Case Para iPhone 14 Plus Tela 6.7"" Não Amarela","29,",https://m.media-amazon.com/images/I/715dQdsZgJL._AC_UL320_.jpg,https://amazon.com.br/Capinha-Transparente-Impacto-iPhone-Amarela/dp/B0BGMMBGZC/ref=sr_1_10?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=32MH80IEMIXE8&keywords=iphone+14+plus&qid=1670102555&sprefix=iphone+14+plu%2Caps%2C174&sr=8-10
Apple iPhone 12 (128 GB) - Branco,"4.899,",https://m.media-amazon.com/images/I/41slQ93jLZL._AC_UL320_.jpg,https://amazon.com.br/Apple-iPhone-12-128-GB-Branco/dp/B09B7YYGSN/ref=sr_1_11?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=32MH80IEMIXE8&keywords=iphone+14+plus&qid=1670102555&sprefix=iphone+14+plu%2Caps%2C174&sr=8-11&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"Capa Mag-Safe Com Indução Compatível Com iPhone 14, Plus, Pro e Max (iPhone 14 Pro Max)","79,",https://m.media-amazon.com/images/I/51zNI6sQI8L._AC_UL320_.jpg,https://amazon.com.br/Capa-Mag-Safe-Indu%C3%A7%C3%A3o-Compat%C3%ADvel-iPhone/dp/B0BJSDTYQT/ref=sr_1_12?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=32MH80IEMIXE8&keywords=iphone+14+plus&qid=1670102555&sprefix=iphone+14+plu%2Caps%2C174&sr=8-12
Capa Celular CUSTOMIC para IPHONE 14 PLUS Impactor Clear c/Antiamarelamento e Proteção Militar MIL-STD-810G. Capinha de Smartphone com Antishock Case Transparente,"99,",https://m.media-amazon.com/images/I/51jv2VxZQjL._AC_UL320_.jpg,https://amazon.com.br/CUSTOMIC-Antiamarelamento-MIL-STD-810G-Smartphone-Transparente/dp/B0BH58JPVZ/ref=sr_1_13?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=32MH80IEMIXE8&keywords=iphone+14+plus&qid=1670102555&sprefix=iphone+14+plu%2Caps%2C174&sr=8-13
